channel_1,channel_2,channel_3
-28.337902,-14.217541,-24.096886
-28.165462,-13.954866,-23.480825
-27.441614,-13.660232,-23.04566
-28.505816,-14.34527,-24.161419
-28.57273,-14.530086,-24.506681
-27.596653,-13.8322115,-23.376822
-27.786964,-13.777245,-23.25924
-28.27022,-14.069933,-23.709898
-28.284119,-14.261939,-23.976858
-28.942581,-14.669613,-24.55584
-29.597586,-15.092801,-25.145895
-28.67904,-14.465515,-24.264515
-28.866705,-14.403375,-23.996187
-27.797237,-14.088095,-23.736914
-28.735756,-14.512967,-24.35337
-29.86824,-15.260186,-25.407948
-29.800087,-15.082678,-25.317593
-27.889622,-13.98675,-23.550879
-29.348898,-14.939242,-25.037071
-27.80406,-13.9935,-23.463406
-29.594107,-15.066184,-25.161129
-28.870102,-14.5266075,-24.278181
-28.438528,-14.561043,-24.381725
-29.5586,-14.899387,-25.02323
-28.33675,-14.119257,-23.950893
-28.171059,-13.8889475,-23.400341
-27.430937,-13.60276,-22.88516
-28.518545,-14.331307,-24.212454
-28.571922,-14.4252615,-24.33778
-27.594519,-13.721873,-23.255537
-27.78444,-13.720573,-23.281363
-28.26913,-14.069671,-23.715244
-28.268057,-14.143333,-23.742065
-28.93968,-14.6191225,-24.523129
-29.60742,-15.001906,-25.081121
-28.680073,-14.443716,-24.254707
-28.871006,-14.340942,-24.00264
-27.7825,-13.992825,-23.571896
-28.734415,-14.549892,-24.452032
-29.864416,-15.173173,-25.34838
-29.756672,-15.034072,-25.293238
-27.8593,-13.923352,-23.547918
-29.336414,-14.816494,-24.857388
-27.790583,-13.901564,-23.424286
-29.562946,-15.026891,-25.164562
-28.874037,-14.377043,-24.083887
-28.429398,-14.465518,-24.379751
-29.544304,-14.846663,-24.988468
-28.355215,-14.061598,-24.180664
-28.184244,-13.898384,-23.752262
-27.425278,-13.495993,-23.223768
-28.518805,-14.27651,-24.540136
-28.57532,-14.320224,-24.475975
-27.590635,-13.686199,-23.533575
-27.777735,-13.662109,-23.832539
-28.26232,-14.0619955,-24.087753
-28.265457,-14.059292,-23.879086
-28.93283,-14.544932,-24.75518
-29.618681,-14.934557,-25.343985
-28.663431,-14.348102,-24.414045
-28.867302,-14.262945,-24.293592
-27.769293,-13.867834,-23.824318
-28.718668,-14.503999,-24.681723
-29.857203,-15.062729,-25.557547
-29.736116,-15.014466,-25.54327
-27.827652,-13.869955,-23.898315
-29.317461,-14.6831665,-24.883888
-27.76294,-13.793705,-23.72097
-29.547548,-14.930734,-25.397509
-28.880085,-14.274793,-24.263437
-28.415607,-14.3567,-24.646198
-29.517605,-14.768044,-25.137106
-28.592106,-13.988211,-24.327402
-28.460844,-13.863563,-24.06218
-27.777668,-13.39396,-23.612188
-28.76749,-14.220065,-24.859112
-28.818195,-14.201335,-24.560394
-27.794756,-13.6690235,-23.77527
-28.135244,-13.568287,-24.223318
-28.496527,-14.024353,-24.34685
-28.450613,-14.010439,-24.113373
-29.12314,-14.394972,-24.936544
-29.795275,-14.861173,-25.535654
-28.835114,-14.286703,-24.596102
-29.051626,-14.24954,-24.56656
-28.094429,-13.706227,-24.0906
-28.895199,-14.391682,-24.797756
-30.06467,-14.906187,-25.741392
-29.929296,-15.06274,-25.916822
-28.091671,-13.758624,-24.084232
-29.47938,-14.550633,-25.008179
-27.968992,-13.680354,-23.893173
-29.749853,-14.841339,-25.552935
-29.088875,-14.214134,-24.47495
-28.639797,-14.228204,-24.748823
-29.726648,-14.784227,-25.461111
-28.83843,-13.982282,-24.554028
-28.70557,-13.792666,-24.406687
-28.102404,-13.297536,-24.006536
-28.9817,-14.132224,-24.997938
-29.02571,-14.112455,-24.6902
-28.013468,-13.638333,-23.938599
-28.475937,-13.4735155,-24.6296
-28.733913,-13.951216,-24.58648
-28.642242,-13.97174,-24.41309
-29.315767,-14.318115,-25.110489
-29.959589,-14.757172,-25.732536
-28.991447,-14.195559,-24.725058
-29.234829,-14.213256,-24.836624
-28.428015,-13.584209,-24.353577
-29.093742,-14.287471,-24.869724
-30.283731,-14.713032,-25.83352
-30.120283,-15.058396,-26.09836
-28.341097,-13.630821,-24.299139
-29.675611,-14.481732,-25.304316
-28.15601,-13.569143,-23.994362
-29.929916,-14.732963,-25.736296
-29.27475,-14.161643,-24.73363
-28.851639,-14.069629,-24.882915
-29.946247,-14.759982,-25.733864
-29.063274,-14.104748,-24.368885
-28.912985,-13.863358,-24.236534
-28.389357,-13.479692,-23.895782
-29.166243,-14.305792,-24.730268
-29.234627,-14.236725,-24.533934
-28.200531,-13.754285,-23.762764
-28.835714,-13.704064,-24.493402
-28.987848,-14.092034,-24.617737
-28.842382,-14.049996,-24.442286
-29.490513,-14.479278,-24.94346
-30.136343,-14.788729,-25.539942
-29.17231,-14.3782,-24.727577
-29.401678,-14.392129,-24.860382
-28.745184,-13.707418,-24.135012
-29.274029,-14.387612,-24.745842
-30.471653,-14.806607,-25.726843
-30.276073,-15.183643,-26.094576
-28.567255,-13.829227,-24.160507
-29.901083,-14.559878,-25.317797
-28.346273,-13.728692,-23.894371
-30.136917,-14.807347,-25.63679
-29.45854,-14.330653,-24.790125
-29.07619,-14.15153,-24.604422
-30.161448,-14.9254875,-25.7734
-28.940168,-14.284455,-24.368511
-28.685547,-13.989685,-24.141703
-28.122446,-13.624459,-23.70693
-28.95252,-14.447299,-24.440647
-29.078875,-14.344666,-24.541023
-28.059258,-13.8506565,-23.63787
-28.58017,-13.954462,-24.331512
-28.867786,-14.203627,-24.56677
-28.779444,-14.116056,-24.397705
-29.331625,-14.629277,-24.86842
-30.025585,-14.856595,-25.417763
-29.029604,-14.461562,-24.695375
-29.238764,-14.53448,-24.735823
-28.525946,-13.839729,-23.92654
-29.10681,-14.539124,-24.54888
-30.327885,-14.976492,-25.665535
-30.165392,-15.26655,-26.02308
-28.351954,-13.996648,-24.149403
-29.819368,-14.691441,-25.3494
-28.180958,-13.865133,-23.799646
-30.038338,-14.844336,-25.559486
-29.317188,-14.477854,-24.913498
-28.913433,-14.235704,-24.425127
-29.988138,-14.988588,-25.667477
-28.827965,-14.3847475,-24.387253
-28.493423,-14.161954,-24.066292
-27.912596,-13.757576,-23.538267
-28.777405,-14.571461,-24.304491
-29.000107,-14.463454,-24.524841
-27.924545,-13.949203,-23.59414
-28.32674,-14.177616,-24.08518
-28.747803,-14.361323,-24.490522
-28.688938,-14.209741,-24.407997
-29.17059,-14.733156,-24.774525
-29.906633,-15.032703,-25.381407
-28.957788,-14.595706,-24.656763
-29.042604,-14.691536,-24.670305
-28.305857,-14.001165,-23.81157
-28.906208,-14.648145,-24.457466
-30.154194,-15.176083,-25.72094
-30.106289,-15.298206,-26.031418
-28.181322,-14.142038,-24.127596
-29.703148,-14.818417,-25.279016
-28.04887,-13.9959955,-23.783543
-29.986385,-14.909513,-25.491795
-29.174726,-14.649088,-25.029198
-28.791441,-14.366085,-24.344181
-29.822838,-15.090087,-25.600044
-28.755318,-14.529799,-24.436619
-28.326971,-14.379573,-23.995476
-27.730906,-13.910447,-23.345207
-28.646646,-14.649644,-24.189524
-28.891584,-14.595763,-24.536505
-27.847721,-14.058796,-23.634798
-28.041994,-14.382933,-23.890787
-28.609459,-14.477123,-24.31125
-28.612642,-14.31012,-24.320772
-29.080135,-14.792274,-24.726904
-29.774595,-15.200717,-25.39395
-28.862446,-14.658965,-24.622969
-28.845339,-14.900933,-24.70707
-28.12142,-14.165599,-23.832323
-28.772427,-14.7182865,-24.390017
-30.040354,-15.381437,-25.744953
-30.074173,-15.371285,-25.9144
-28.070917,-14.262239,-23.99775
-29.536108,-14.953268,-25.3183
-27.93216,-14.087941,-23.744207
-29.87531,-15.056495,-25.435724
-29.02409,-14.814443,-24.940132
-28.670815,-14.486588,-24.356647
-29.67624,-15.184112,-25.547796
-28.625456,-14.638295,-24.388037
-28.149395,-14.465929,-23.889791
-27.528687,-14.069911,-23.304697
-28.547493,-14.636646,-24.248352
-28.766577,-14.67703,-24.550375
-27.766865,-14.098204,-23.628365
-27.796162,-14.4649515,-23.818882
-28.452374,-14.627394,-24.199482
-28.494864,-14.35658,-24.240005
-29.019558,-14.842115,-24.805483
-29.646732,-15.296075,-25.47412
-28.827225,-14.758291,-24.657925
-28.697718,-15.06013,-24.854677
-27.990849,-14.328133,-23.896666
-28.685753,-14.755863,-24.492723
-29.924145,-15.532548,-25.828503
-29.974705,-15.434149,-25.772251
-27.956438,-14.321662,-23.944778
-29.427889,-15.032634,-25.305231
-27.843857,-14.137074,-23.789875
-29.749958,-15.232425,-25.531898
-28.824156,-14.922612,-24.866056
-28.583366,-14.522075,-24.422077
-29.590775,-15.288213,-25.475616
-28.390705,-14.770017,-24.316021
-27.927849,-14.56357,-23.873718
-27.208035,-14.206966,-23.311283
-28.424143,-14.67159,-24.35575
-28.55653,-14.753703,-24.573141
-27.64748,-14.138158,-23.5357
-27.51838,-14.525739,-23.77998
-28.186058,-14.724131,-24.062199
-28.32782,-14.448264,-24.102375
-28.920984,-14.963954,-24.925144
-29.533228,-15.37807,-25.488617
-28.676035,-14.835274,-24.643898
-28.560883,-15.114347,-24.83368
-27.739605,-14.501502,-23.925877
-28.576244,-14.816121,-24.591011
-29.744684,-15.672308,-25.965282
-29.752079,-15.465297,-25.571054
-27.754688,-14.382972,-23.883274
-29.242609,-15.137504,-25.322819
-27.71261,-14.191519,-23.844368
-29.55265,-15.395727,-25.571775
-28.591198,-14.98359,-24.700647
-28.442799,-14.563403,-24.39518
-29.362612,-15.315698,-25.32665
-28.103542,-14.856012,-24.19771
-27.74498,-14.668858,-24.004152
-26.944221,-14.384873,-23.37122
-28.338108,-14.69786,-24.484268
-28.38186,-14.793543,-24.506817
-27.48352,-14.116943,-23.408627
-27.289705,-14.59615,-23.729963
-27.88451,-14.830565,-24.024878
-28.102348,-14.565335,-23.99999
-28.750263,-15.044809,-24.943092
-29.395723,-15.449858,-25.558313
-28.515,-14.920533,-24.597668
-28.430748,-15.2008095,-24.807669
-27.430943,-14.652861,-23.833765
-28.41742,-14.888593,-24.66083
-29.554216,-15.841242,-26.040956
-29.577303,-15.502715,-25.434313
-27.521748,-14.440676,-23.858175
-29.059914,-15.257645,-25.289988
-27.57958,-14.2322,-23.795305
-29.363277,-15.564244,-25.62038
-28.359985,-15.007965,-24.608496
-28.255718,-14.64473,-24.439032
-29.189535,-15.371479,-25.208603
-27.873508,-14.903827,-24.126066
-27.640532,-14.894651,-24.285915
-26.708101,-14.597545,-23.482977
-28.250051,-14.74953,-24.435495
-28.210375,-14.880611,-24.404974
-27.327133,-14.203246,-23.312511
-27.042551,-14.700406,-23.762026
-27.612686,-14.931402,-24.085495
-27.899246,-14.6894455,-24.027159
-28.604872,-15.062123,-24.782494
-29.273375,-15.533122,-25.60899
-28.298933,-14.912504,-24.45439
-28.24699,-15.258152,-24.742706
-27.076239,-14.862907,-23.783222
-28.25915,-14.979949,-24.706009
-29.317411,-15.927772,-26.02274
-29.405384,-15.548018,-25.404734
-27.334332,-14.521578,-23.725569
-28.87346,-15.411904,-25.246555
-27.40752,-14.289696,-23.685844
-29.151867,-15.700605,-25.59955
-28.196825,-15.027544,-24.531883
-28.064997,-14.714826,-24.389215
-28.994074,-15.44728,-25.239468
-27.78985,-14.939837,-24.02526
-27.669235,-15.068275,-24.351946
-26.679745,-14.7650175,-23.538214
-28.264824,-14.808956,-24.300274
-28.16367,-14.986685,-24.289984
-27.230036,-14.313286,-23.296618
-27.052101,-14.780755,-23.668613
-27.565308,-15.0282,-24.227707
-27.857824,-14.773014,-24.08203
-28.572302,-15.075269,-24.70039
-29.228504,-15.5709715,-25.564322
-28.276827,-14.994558,-24.434313
-28.202614,-15.305215,-24.764212
-26.909899,-14.98964,-23.72082
-28.263752,-15.035193,-24.58587
-29.26952,-15.992879,-25.858118
-29.37369,-15.620676,-25.382534
-27.28018,-14.640284,-23.6881
-28.797491,-15.5252075,-25.224796
-27.395426,-14.377269,-23.577948
-29.04188,-15.823635,-25.603783
-28.217745,-15.087412,-24.60506
-28.00664,-14.798172,-24.311846
-29.02185,-15.648365,-25.404139
-27.749884,-15.070581,-24.044872
-27.62833,-15.178544,-24.30058
-26.611671,-14.894572,-23.523035
-28.211536,-14.912941,-24.189783
-28.065971,-15.065545,-24.252544
-27.147686,-14.419203,-23.310568
-27.023079,-14.941325,-23.601582
-27.56972,-15.09783,-24.21373
-27.840899,-14.846133,-24.156342
-28.589457,-15.113808,-24.637035
-29.19846,-15.581238,-25.40804
-28.191633,-15.004327,-24.3669
-28.21787,-15.298121,-24.6862
-26.784962,-15.067237,-23.684385
-28.245033,-15.101158,-24.478945
-29.20585,-15.9781885,-25.672544
-29.253284,-15.720323,-25.499537
-27.21674,-14.776843,-23.616274
-28.773285,-15.643661,-25.146816
-27.34307,-14.498447,-23.528362
-28.918188,-15.94239,-25.56333
-28.306992,-15.162832,-24.678219
-27.959015,-14.893047,-24.135386
-28.972773,-15.805128,-25.445822
-27.659176,-15.1673765,-24.119904
-27.556206,-15.220856,-24.121954
-26.54302,-14.979592,-23.466759
-28.14723,-15.01214,-24.20337
-28.007158,-15.111828,-24.26289
-27.088087,-14.494145,-23.363754
-26.949125,-15.130622,-23.556742
-27.54988,-15.188988,-24.149952
-27.827072,-14.936059,-24.220827
-28.541931,-15.204331,-24.635012
-29.166538,-15.647327,-25.320654
-28.16556,-15.0651455,-24.360617
-28.229872,-15.305685,-24.549124
-26.721027,-15.105169,-23.621248
-28.180088,-15.168278,-24.336683
-29.162542,-15.976296,-25.459475
-29.173061,-15.837417,-25.527058
-27.097166,-14.883596,-23.536058
-28.697613,-15.737794,-25.14711
-27.296215,-14.640526,-23.519993
-28.793661,-16.033691,-25.436956
-28.388172,-15.249478,-24.712818
-27.863468,-15.044893,-24.102032
-28.91374,-15.921081,-25.442173
-27.680363,-14.947426,-24.322271
-27.506264,-14.898817,-24.243565
-26.494825,-14.587903,-23.656551
-28.114529,-14.818853,-24.442661
-28.017515,-14.903935,-24.506538
-27.093851,-14.352737,-23.552013
-26.848103,-14.864889,-23.890938
-27.462917,-14.976575,-24.1735
-27.819166,-14.8560915,-24.40612
-28.489428,-15.041272,-24.763083
-29.14874,-15.493242,-25.366524
-28.101973,-14.893551,-24.447367
-28.18784,-15.066033,-24.545109
-26.693184,-14.716546,-23.781479
-28.050312,-14.958631,-24.453043
-29.091194,-15.732137,-25.486233
-29.089748,-15.716109,-25.772913
-26.984318,-14.643022,-23.767563
-28.650652,-15.608657,-25.32016
-27.20951,-14.529429,-23.668344
-28.672794,-15.810637,-25.442179
-28.431131,-15.060004,-24.832335
-27.792671,-14.897614,-24.308168
-28.812082,-15.700824,-25.571821
-27.703869,-14.707758,-24.49856
-27.46026,-14.620308,-24.327837
-26.494923,-14.265546,-23.76652
-28.071747,-14.691418,-24.588251
-28.059238,-14.786459,-24.787825
-27.053654,-14.189503,-23.765585
-26.771307,-14.559988,-24.198801
-27.396376,-14.744206,-24.330559
-27.785524,-14.798385,-24.563066
-28.415815,-14.943492,-24.917355
-29.09214,-15.383377,-25.50826
-28.088846,-14.792928,-24.605574
-28.103655,-14.803222,-24.628279
-26.723772,-14.36891,-23.961575
-27.99444,-14.725207,-24.629168
-29.045172,-15.523673,-25.661247
-29.114298,-15.585289,-25.868128
-26.910994,-14.4261055,-24.054728
-28.58395,-15.454161,-25.48972
-27.09166,-14.436508,-23.901854
-28.596704,-15.612386,-25.45645
-28.395706,-14.9603405,-25.020014
-27.724651,-14.77327,-24.558289
-28.781935,-15.464669,-25.71736
-27.771507,-14.522952,-24.681782
-27.385424,-14.396385,-24.35805
-26.413017,-14.016483,-23.805199
-27.96228,-14.595383,-24.845966
-28.108294,-14.667953,-25.069935
-27.050707,-14.068954,-23.966457
-26.734406,-14.243872,-24.459723
-27.389263,-14.475279,-24.49793
-27.738304,-14.690271,-24.63767
-28.40435,-14.851556,-25.110888
-29.069971,-15.250216,-25.620779
-28.090557,-14.655727,-24.765127
-28.027622,-14.578124,-24.718752
-26.757484,-14.070407,-24.168777
-27.991291,-14.52813,-24.835218
-29.025454,-15.383764,-25.873531
-29.042667,-15.439898,-25.98236
-26.90114,-14.269937,-24.29795
-28.533922,-15.280003,-25.639574
-26.997772,-14.335963,-24.179762
-28.535898,-15.372021,-25.560001
-28.326925,-14.858932,-25.236214
-27.712158,-14.654974,-24.817451
-28.705183,-15.249855,-25.82095
-27.780922,-14.695359,-24.705036
-27.240028,-14.641595,-24.073395
-26.296684,-14.347589,-23.530296
-27.894995,-14.89373,-24.782368
-28.121494,-14.905138,-24.96064
-26.994802,-14.309801,-23.914757
-26.663984,-14.58793,-24.29947
-27.402872,-14.635313,-24.401575
-27.677177,-14.809494,-24.476982
-28.39537,-15.091278,-25.111105
-29.00404,-15.423905,-25.680222
-28.101706,-14.882962,-24.746174
-27.997023,-14.752776,-24.6523
-26.784695,-14.375048,-24.005856
-28.024618,-14.722885,-24.730566
-29.059572,-15.58264,-25.907625
-29.02924,-15.599048,-25.823261
-26.86687,-14.59744,-24.178644
-28.450972,-15.42871,-25.481346
-26.935238,-14.591786,-24.123997
-28.541838,-15.488655,-25.50139
-28.247213,-15.083852,-25.164434
-27.678268,-14.967567,-24.867744
-28.632425,-15.488863,-25.60026
-27.638956,-14.876098,-24.655567
-26.948637,-14.893314,-23.913021
-25.926105,-14.618037,-23.432089
-27.681747,-15.137438,-24.755772
-27.930841,-15.096565,-24.827444
-26.835178,-14.549972,-23.800566
-26.245872,-14.9823885,-24.162659
-27.156662,-14.787042,-24.31397
-27.459494,-15.007439,-24.382328
-28.212402,-15.326279,-25.038143
-28.861586,-15.648656,-25.711538
-27.867052,-15.014581,-24.69245
-27.780155,-14.941528,-24.597172
-26.57503,-14.716888,-23.947388
-27.838951,-14.979561,-24.642756
-28.874155,-15.844345,-25.842117
-28.78359,-15.742233,-25.786158
-26.55544,-14.889418,-23.969126
-28.22296,-15.599348,-25.372982
-26.676271,-14.833187,-24.018356
-28.376692,-15.590192,-25.539446
-27.937862,-15.289542,-24.958029
-27.457685,-15.2302065,-24.857916
-28.287336,-15.697248,-25.376003
-27.430798,-15.00727,-24.50414
-26.692804,-15.088994,-23.87392
-25.661348,-14.868909,-23.397087
-27.562464,-15.3627615,-24.641256
-27.715134,-15.351249,-24.7428
-26.63919,-14.730701,-23.72106
-25.837448,-15.395477,-23.936525
-26.900625,-14.971794,-24.273338
-27.193848,-15.194356,-24.381443
-27.963419,-15.526571,-25.05329
-28.662752,-15.887128,-25.708818
-27.707432,-15.195977,-24.707241
-27.594713,-15.153903,-24.518974
-26.316542,-15.040067,-23.965979
-27.66454,-15.167143,-24.546923
-28.616796,-16.050615,-25.899603
-28.604239,-15.86184,-25.76427
-26.197573,-15.114771,-23.903854
-27.96614,-15.857097,-25.203466
-26.411673,-15.069376,-23.883572
-28.235352,-15.780029,-25.525978
-27.564936,-15.512858,-24.727356
-27.241554,-15.501642,-24.769363
-28.041924,-15.899818,-25.215866
-27.240717,-15.209854,-24.33711
-26.498405,-15.305378,-23.885563
-25.42826,-15.147982,-23.420385
-27.39209,-15.55724,-24.582949
-27.44838,-15.611403,-24.697054
-26.43723,-14.909854,-23.638443
-25.486069,-15.769966,-23.782343
-26.672525,-15.158985,-24.212765
-26.907898,-15.395238,-24.35464
-27.762407,-15.67963,-24.987772
-28.421019,-16.106083,-25.615671
-27.50324,-15.275259,-24.719713
-27.3647,-15.332741,-24.444128
-26.033365,-15.286915,-23.985682
-27.509262,-15.327314,-24.541327
-28.35306,-16.255465,-25.90384
-28.404062,-16.058516,-25.747787
-25.942694,-15.335283,-23.852428
-27.676178,-16.043268,-25.147827
-26.12321,-15.242334,-23.784273
-28.032192,-15.998694,-25.532598
-27.166878,-15.772615,-24.546923
-26.97312,-15.734213,-24.63666
-27.81581,-16.032965,-25.181635
-26.955788,-15.253801,-24.242893
-26.293453,-15.2198715,-23.922007
-25.15713,-15.158916,-23.38742
-27.221197,-15.47338,-24.414537
-27.14483,-15.635769,-24.564053
-26.18947,-14.842242,-23.561232
-25.16967,-15.697789,-23.64959
-26.50965,-15.234015,-24.160143
-26.630922,-15.435939,-24.253534
-27.575539,-15.610091,-24.944815
-28.165205,-16.075611,-25.535189
-27.379406,-15.269438,-24.636478
-27.153454,-15.248282,-24.382378
-25.709482,-15.258137,-23.944065
-27.390083,-15.289173,-24.51133
-28.09597,-16.2327,-25.818838
-28.227758,-16.114246,-25.621574
-25.728563,-15.266781,-23.808819
-27.384745,-16.109587,-25.08807
-25.892826,-15.190481,-23.609257
-27.822649,-16.04832,-25.468922
-26.841644,-15.798633,-24.449665
-26.691265,-15.718541,-24.501667
-27.638298,-16.070095,-25.195944
-26.989952,-15.34095,-24.082682
-26.474524,-15.143886,-23.941265
-25.247396,-15.136652,-23.284666
-27.320581,-15.39426,-24.317045
-27.126062,-15.654302,-24.402649
-26.26408,-14.807491,-23.510717
-25.387821,-15.573355,-23.55761
-26.595297,-15.34642,-24.023067
-26.619972,-15.531818,-24.151476
-27.648283,-15.647245,-24.694004
-28.186998,-16.046452,-25.401106
-27.401852,-15.309667,-24.460688
-27.234114,-15.127669,-24.398783
-25.745253,-15.288741,-23.767582
-27.451347,-15.291423,-24.41761
-28.125595,-16.206125,-25.609386
-28.263891,-16.130003,-25.620281
-25.864403,-15.28211,-23.733147
-27.307287,-16.133059,-25.044847
-25.9494,-15.160003,-23.502462
-27.795689,-16.093262,-25.452358
-26.863523,-15.837332,-24.352238
-26.705927,-15.758111,-24.349358
-27.68334,-16.01496,-25.284735
-26.97092,-15.390049,-24.044233
-26.6222,-15.03146,-23.921911
-25.358395,-15.128284,-23.178642
-27.416443,-15.341481,-24.209948
-27.065065,-15.655382,-24.331827
-26.345234,-14.819941,-23.448662
-25.568853,-15.480022,-23.464375
-26.618284,-15.433588,-23.921444
-26.631979,-15.576722,-24.100592
-27.607372,-15.637482,-24.55122
-28.217972,-16.003056,-25.267853
-27.354721,-15.39406,-24.30113
-27.405388,-15.119195,-24.331825
-25.764563,-15.387526,-23.576246
-27.439756,-15.320151,-24.357883
-28.109884,-16.280966,-25.349247
-28.368639,-16.19841,-25.639257
-25.897282,-15.289079,-23.593409
-27.304348,-16.085964,-25.027933
-25.960371,-15.17462,-23.44904
-27.775017,-16.120836,-25.389362
-26.932125,-15.812336,-24.297276
-26.664948,-15.803087,-24.203465
-27.832813,-16.012419,-25.279495
-27.002548,-15.537236,-23.877064
-26.755394,-15.110227,-23.653103
-25.444029,-15.287411,-22.900948
-27.427866,-15.482564,-24.16547
-27.080881,-15.781622,-24.22711
-26.398165,-15.064571,-23.330694
-25.735237,-15.586216,-23.275917
-26.619509,-15.55629,-23.747818
-26.676353,-15.616336,-23.97228
-27.59194,-15.747912,-24.454638
-28.240252,-16.081882,-25.0715
-27.315834,-15.507398,-24.222975
-27.501493,-15.199146,-24.15322
-25.767475,-15.709497,-23.21875
-27.389982,-15.421366,-24.255499
-28.009115,-16.341515,-25.13251
-28.380814,-16.330557,-25.534794
-25.890589,-15.485431,-23.42498
-27.397194,-16.154984,-24.893484
-25.964148,-15.273773,-23.415491
-27.750315,-16.239447,-25.144505
-27.020529,-15.8047285,-24.23661
-26.602417,-15.98153,-24.011227
-27.929512,-16.100374,-25.207338
-26.78273,-15.619911,-23.802168
-26.449728,-15.21471,-23.378689
-25.126204,-15.408365,-22.588692
-27.176653,-15.652232,-24.07732
-26.872564,-15.895356,-24.039
-26.126663,-15.287505,-23.11133
-25.468039,-15.760541,-23.080545
-26.415672,-15.576575,-23.58161
-26.543358,-15.660564,-23.778769
-27.397287,-15.831315,-24.436125
-28.008085,-16.177082,-24.927677
-27.180027,-15.6657715,-24.103617
-27.366299,-15.278189,-24.030556
-25.338152,-15.94596,-22.816227
-27.151903,-15.5449095,-24.154846
-27.801043,-16.457792,-24.958984
-28.198244,-16.529978,-25.309666
-25.60848,-15.684685,-23.250116
-27.260479,-16.162798,-24.793701
-25.780272,-15.390866,-23.304232
-27.513508,-16.345669,-24.920525
-26.965496,-15.736429,-24.216827
-26.27459,-16.109095,-23.935575
-27.77605,-16.267906,-24.982615
-26.67346,-15.740096,-23.599722
-26.212057,-15.328421,-23.165468
-24.83535,-15.522668,-22.327
-26.904888,-15.815612,-23.969395
-26.724068,-16.01181,-23.822992
-25.811165,-15.402119,-22.96196
-25.19462,-16.049839,-22.85307
-26.242767,-15.622489,-23.482998
-26.377022,-15.694855,-23.648924
-27.256237,-15.921149,-24.327465
-27.818869,-16.271864,-24.855513
-26.997894,-15.724022,-24.022682
-27.148668,-15.39423,-23.943972
-24.969198,-16.086163,-22.545889
-26.932777,-15.69312,-24.035017
-27.633986,-16.498093,-24.896847
-27.961746,-16.685308,-25.121655
-25.369558,-15.855172,-23.081577
-27.157118,-16.31438,-24.549753
-25.583454,-15.506702,-23.236132
-27.314175,-16.52248,-24.651054
-26.936388,-15.687222,-24.168268
-26.040165,-16.262312,-23.791874
-27.476788,-16.399498,-24.74472
-26.504045,-15.74129,-23.45387
-26.002024,-15.424106,-23.088062
-24.548841,-15.620484,-22.098383
-26.652645,-15.9224415,-23.877115
-26.540693,-16.070139,-23.735298
-25.62196,-15.442471,-22.907177
-24.80637,-16.299732,-22.583302
-26.105536,-15.774368,-23.268307
-26.242891,-15.736802,-23.530811
